sinhala,english,transliteration,pos,example_si,example_en
"මම හිතන්නේ මම දැන් ගෙදර යනවා නම් හොඳයි, නමුත් ඉලයින්",i think i d better go home now please but elaine,mama hithanne mama den gedara yanawa nam hondayi namuth,,,
ඒත් elaine කෝ කාර් එක,but elaine where is the car,eth ko kar eka,,,
කාර් එක කොහෙද මට ඔයාට දෙයක් කියන්න ඕන,where is the car i just want to tell you something,kar eka koheda mata oyata deyak kiyanna ona,,,
අහන්න ඔයාට අඬන එක නවත්තන්න පුලුවන්ද අනේ මට බෑ,listen could you stop crying please no i couldn t,ahanna oyata andana eka nawaththanna puluwanda ane mata be,,,
නෑ මට බැරි උනා ඒත් ඔයාට උත්සහ කරන්න පුලුවන්ද,no i couldn t but could you try,ne mata beri una eth oyata uthsaha karanna puluwanda,,,
අපි විනාඩියක් ඉන්න ඇතුලට යන්න දෙන්නේ නැහැ,we won t let s go inside wait a minute,api winadiyak inna ethulata yanna denne nehe,,,
පොඩ්ඩක් ඉන්න මොකක් හරි අවුලක්ද,wait a minute is anything wrong,poddak inna mokak hari,,,
බෙන්ජමින් අපි මෙතනින් යමු ඉලයින් අපි වෙන තැනකට යමු,benjamin let s get out of here elaine let s go somewhere else,benjamin api methanin yamu api wena thenakata yamu,,,
බෙන්ජමින් ඔවුන් ඔබව හඳුනනවාද?,benjamin do they know you of course not,benjamin owun obawa,,,
පවුලක් සමඟ ඔව් ඇයට සැමියෙක් සහ පුතෙක් සිටියා,with a family yes she had a husband and a son,pawulak samanga ow eyata semiyek saha puthek sitiya,,,
හරි දවල්ට අපි ඩ්රයිව් එකකට හරි මොකක් හරි යන්නම්,all right during the day we ll go for a drive or something,hari dawalta api drayiw ekakata hari mokak hari yannam,,,
බෙන්ජමින් මොකද වෙන්නේ ඉක්මනට සපත්තු දාගන්න,benjamin what s happening hurry up put your shoes on,benjamin mokada wenne ikmanata sapaththu daganna,,,
මොකක්ද ඒ කාන්තාව,what is it that woman,mokakda e kanthawa,,,
ඒ කාන්තාව වැඩිහිටි කාන්තාව ඔබ අදහස් කළේ කවුද?,that woman the older woman you mean the one who,e kanthawa wedihiti kanthawa oba adahas kale kawuda,,,
ඔබ අදහස් කරන්නේ ඔව් විවාහක කාන්තාව ඒ යම් කාන්තාවක් නොවේ,you mean the one who yes the married woman it wasn t just some woman,oba adahas karanne ow wiwahaka kanthawa e yam kanthawak nowe,,,
elaine අනේ දෙවියනේ,elaine oh my god,ane dewiyane,,,
නෑ අඬන්න එපා එලියට යන්න,no don t cry get out,ne andanna epa eliyata yanna,,,
අඬන්න එපා එළියට යන්න,get out don t cry,andanna epa eliyata yanna,,,
අඬන්න එපා මෙතනින් යන්න,don t cry get out of here,andanna epa methanin yanna,,,
මට කෙනෙක් හමුවෙනවා අහ් කොහෙද,i m meeting someone ah where,mata kenek hamuwenawa ah koheda,,,
ඔබට මෙම පුද්ගලයා සත්වෝද්යානයේදී හමුවන්නේ කොහේද?,where are you meeting this person at the zoo,obata mema pudgalaya hamuwanne koheda,,,
සත්වෝද්යානයේ සත්වෝද්යානයේ ඔවුන් සතුව ඉතා හොඳ එකක් තිබේ,at the zoo the zoo they have a pretty good one here do they,sathwodyanaye sathwodyanaye owun sathuwa itha honda ekak thibe,,,
ඇත්තෙන්ම ඇදහිය නොහැකි තරම් ඔහු මෙහි පැමිණේ,really incredible here he comes,eththenma edahiya noheki tharam ohu mehi pemine,,,
මට ඔයාගෙන් ප්රශ්නයක් අහන්න ඕන ඇතුලට එන්න,i want to ask you a question come in,mata oyagen prashnayak ahanna ona ethulata enna,,,
එන්න එපා මට දැනගන්න ඕන ඔයා ඇයි බර්ක්ලි වල ඉන්නේ කියලා,come in no i want to know why you re here in berkeley,enna epa mata denaganna ona oya eyi barkli wala inne kiyala,,,
නෑ මට දැනගන්න ඕන ඔයා ඇයි බර්ක්ලි වල ඉන්නේ මම නිසා,no i want to know why you re here in berkeley because i am,ne mata denaganna ona oya eyi barkli wala inne mama nisa,,,
මක්නිසාද යත් මම එය එසේ වන්නේ මම මෙහි සිටින බැවිනි,because i am is it because i m here,maknisada yath mama eya ese wanne mama mehi sitina bewini,,,
මම මෙහි සිටින නිසා ඔබ සිතන්නේ කුමක්ද?,is it because i m here what do you think,mama mehi sitina nisa oba sithanne kumakda,,,
ඔයා හිතන්නේ මම හිතන්නේ ඒක මොකක්ද කියලා,what do you think i think it is,oya hithanne mama hithanne eka mokakda kiyala,,,
මම කිව්වා ඒක හරි කියලා මම හිතනවා ඔව් කියලා,i said i think it is all right then yes,mama kiwwa eka hari kiyala mama hithanawa ow kiyala,,,
හරි එහෙනම් ඔව් මට ඔයා යන්න ඕන,all right then yes well i want you to leave,hari ehenam ow mata oya yanna ona,,,
හොඳයි මට ඕන ඔයා ඉලේන්ව දාලා යන්න මම ඔයාට ආදරෙයි,well i want you to leave elaine i love you,hondayi mata ona oya dala yanna mama oyata adareyi,,,
ඉලේන් මම ඔයාට ආදරෙයි බෙන්ජමින් ඔයා කොහොමද ඒක කරන්නේ,elaine i love you how could you do that benjamin,ilen mama oyata adareyi benjamin oya kohomada eka karanne,,,
මට තේරෙන්නේ නැහැ ඔයා එයාව දූෂණය කළා කිව්වද කියලා,i don t understand did you say rape her,mata therenne nehe oya eyawa dushanaya kala kiwwada kiyala,,,
ඇය මොනවද කිව්වේ මට යන්න දෙන්න කියලා,what did she say let me go,eya monawada kiwwe mata yanna denna kiyala,,,
මට යන්න දෙන්න ඔයා මට කියන්න ඕන ඇය කියපු දේ,let me go you ve got to tell me what she said,mata yanna denna oya mata kiyanna ona eya kiyapu de,,,
මොකද ඒක ඇත්ත නෙවෙයි මට සනීප නෑ,because it isn t true i don t feel well,mokada eka eththa neweyi mata saneepa ne,,,
එතකොට ඔයා එයාව උඩට අරන් ගිහින් දූෂණය කළේ මොකක්ද කියලා,then what then you took her upstairs and you raped her,ethakota oya eyawa udata aran gihin dushanaya kale mokakda kiyala,,,
එවිට ඔබ ඇයව උඩුමහලට ගෙන ගොස් ඇයව දූෂණය කළේ එය නොවේ,then you took her upstairs and you raped her elaine that is not what happened,ewita oba eyawa udumahalata gena gos eyawa dushanaya kale eya nowe,,,
ඔබ මගේ පටිය සොයන්නේ කුමක්ද?,what are you looking for my belt,oba mage patiya soyanne kumakda,,,
මගේ පටිය ඔබ ළඟ නැද්ද?,my belt don t you have it on,mage patiya oba langa nedda,,,
මම සොයන කිරිගරුඬ පටිය මගේ ආච්චිගෙන්,the marble the belt i m looking for was from my grandmother,mama soyana kirigarunda patiya mage achchigen,,,
ඔයා දැන් මොකක්ද කරන්න යන්නේ මම දන්නේ නැහැ,what are you going to do now i don t know,oya den mokakda karanna yanne mama danne nehe,,,
මට ඔයා හෙට යන්න ඕන නෑ මට තේරෙන්නේ නැහැ,i don t want you to leave tomorrow i don t understand,mata oya heta yanna ona ne mata therenne nehe,,,
නමුත් elaine සමුගන්න,but elaine goodbye,namuth samuganna,,,
"ඔබ එසේ නොවනු ඇත, මම නොදනිමි",you won t i don t know,oba ese nowanu etha mama nodanimi,,,
මම දන්නේ නැහැ නමුත් ඔබට පුළුවන්,i don t know but you might,mama danne nehe namuth obata puluwan,,,
නමුත් ඔබට පුළුවන් මට පුළුවන්,but you might i might,namuth obata puluwan mata puluwan,,,
මම එසේ විය හැක්කේ ඔබ මාව විවාහ කර ගත හැකි බැවිනි,i might is that so you might marry me,mama ese wiya hekke oba mawa wiwaha kara gatha heki bewini,,,
මට පේන්නේ නැහැ අපිට පුළුවන් කොහොමද කියලා,i don t see how we can we just can,mata penne nehe apita puluwan kohomada kiyala,,,
අපට දැන් ආපසු යා යුතුය,we just can i have to go back now,apata den apasu ya yuthuya,,,
elaine ඔයා මේ ගැන බරපතලද මම ඒ ගැන හිතන්නම්,elaine are you serious about this i ll think about it,oya me gena barapathalada mama e gena hithannam,,,
මම ඒ ගැන හිතන්නම් ඔබ ඇත්තටම කරන්න,i ll think about it you really will,mama e gena hithannam oba eththatama karanna,,,
අපිට හෙට ගිහින් ලේ පරීක්ෂා කරන්න පුළුවන්,we could go down and get our blood tests tomorrow tomorrow,apita heta gihin le pareeksha karanna puluwan,,,
හෙට හෝ අද හවස ඒකට හොඳ දවසක්,tomorrow or this afternoon it s a good day for it,heta ho ada hawasa ekata honda dawasak,,,
මම හිතන්නේ නැහැ එය වැඩ කරන්නේ ඇයි එය එසේ නොවේ,i just don t think it would work why wouldn t it,mama hithanne nehe eya weda karanne eyi eya ese nowe,,,
ඇයි එහෙම වෙන්නේ නැත්තේ කියලා මම හිතන්නේ නැහැ,why wouldn t it i just don t think it would,eyi ehema wenne neththe kiyala mama hithanne nehe,,,
හොඳයි මට carl first carl who බලන්න වෙනවා,well i have to see carl first carl who,hondayi mata balanna wenawa,,,
ඇයි ඔයා එයාව හොඳට බලන්න ඕන මම එයාව බඳින්න පුළුවන් කියලා,why do you have to see him well i said i might marry him,eyi oya eyawa hondata balanna ona mama eyawa bandinna puluwan kiyala,,,
නෑ බෙන්ජමින් හොඳයි එයා මොනවද කිව්වේ මම කුතුහලයෙන් ඉන්නේ,no benjamin well what did he say i m curious,ne benjamin hondayi eya monawada kiwwe mama kuthuhalayen inne,,,
හෙට අනිද්දා සමහර විට අපි ඉන්නවා සමහර විට අපි ටී,the day after tomorrow maybe we are and maybe we aren t,heta anidda samahara wita api innawa samahara wita api tee,,,
657 2036 හලෝ කවුද මේ,657 2036hello who is this,halo kawuda me,,,
හලෝ කවුද මේ ඩොක්ටර් ස්මිත්ගේ උත්තර සේවය,hello who is this this is dr smith s answering service,halo kawuda me doktar uththara sewaya,,,
ස්තුතියි මම අනිවාර්යයෙන්ම ඔබ බලාපොරොත්තු වෙනවා,thank you i certainly hope you,sthuthiyi mama aniwaryayenma oba balaporoththu wenawa,,,
බෙන් මට ඔයාට එක වචනයක් කියන්න ඕන ඔව් සර්,ben i just want to say one word to you just one word yes sir,ben mata oyata eka wachanayak kiyanna ona ow sar,,,
ඔව් සර් ඔයා අහනවද,yes sir are you listening,ow sar oya ahanawada,,,
ඔව් මම ප්ලාස්ටික්,yes i am plastics,ow mama plastik,,,
ඔයා අහනවද ඔව් මම,are you listening yes i am,oya ahanawada ow mama,,,
ඔව් මම හොඳටම කියන්නම් ඒක ගනුදෙනුවක් කියලා,yes i will okay enough said that s a deal,ow mama hondatama kiyannam eka ganudenuwak kiyala,,,
ඔබ හරියටම ශිෂ්යයෙක් නොවේ,you a student not exactly,oba hariyatama shishyayek nowe,,,
මොකක්ද මම කිව්වේ හරියටම නෑ කියලා,what s that i said not exactly no,mokakda mama kiwwe hariyatama ne kiyala,,,
මම කිව්වා හරියටම නෑ ඔයා මොකක්ද එතකොට,i said not exactly no what are you then,mama kiwwa hariyatama ne oya mokakda ethakota,,,
ඔයා මොකක්ද එහෙනම් හොඳයි මම දැන් ගමනක් යනවා,what are you then well i m just sort of traveling through,oya mokakda ehenam hondayi mama den gamanak yanawa,,,
ඒ පිටස්තර උද්ඝෝෂකයන්ගෙන් එක්කෙනෙක් අනේ නෑ සර්,one of those outside agitators oh no sir,e pitasthara ekkenek ane ne sar,,,
අනේ නෑ සර් මම ඒ වෙනුවෙන් පෙනී නොසිටිනවාට වෛර කරනවා,oh no sir i hate that i won t stand for it,ane ne sar mama e wenuwen penee waira karanawa,,,
oh hello mccleery කෑ ගැහුවා,oh hello mr mccleery who screamed,ke gehuwa,,,
කමක් නෑ කියලා කෑගැහුවා mccleery,who screamed it s all right mr mccleery,kamak ne kiyala kegehuwa,,,
කමක් නැහැ mccleery කෑගැසුවාට කමක් නෑ මගේ ගෙදර ඒක නෑ,it s all right mr mccleery screaming isn t all right not in my house it isn t,kamak nehe kegesuwata kamak ne mage gedara eka ne,,,
mccleery මහත්මයා ඔබට මාව මෙතැනින් ඇහුණා,mr mccleery you heard me out of here,mahathmaya obata mawa methenin ehuna,,,
ඔබට මා මෙතැනින් ඇසුනේ කුමක් සඳහාද යන්නයි,you heard me out of here what for,obata ma methenin esune kumak sandahada yannayi,,,
මොකද මම ඔයාට කැමති නැති නිසා,what for because i don t like you,mokada mama oyata kemathi nethi nisa,,,
මට මුලින්ම එක් දුරකථන ඇමතුමක් ලබා දිය හැකිද?,could i make one phone call first get out,mata mulinma ek durakathana emathumak laba diya hekida,,,
රොබින්සන් මහත්මිය මම නාන කාමරයේ,mrs robinson i m in the bathroom,robinsan mahathmiya mama nana kamaraye,,,
මම බාත්රූම් එකේ ඉන්නවා හොදට මෙන්න පර්ස් එක,i m in the bathroom well here s the purse,mama bathrum eke innawa hodata menna pars eka,,,
හොඳයි මෙන්න මුදල් පසුම්බිය ඔබට එය ගෙන ඒමට හැකිද?,well here s the purse could you bring it up,hondayi menna mudal pasumbiya obata eya gena emata hekida,,,
"ඔබට එය හොඳින් ගෙන ඒමට හැකිද, මම එය ඔබට භාර දෙමි",could you bring it up well i ll hand it to you,obata eya hondin gena emata hekida mama eya obata bhara demi,,,
"මම එය මෙහි දොර ළඟ තබමි, ඔබ එය මා වෙත ගෙන එයි",i m putting it here by the door will you bring it in to me,mama eya mehi dora langa thabami oba eya ma wetha gena eyi,,,
ඔබ එය මා වෙත ගෙන එයිද මම එසේ නොකරමි,will you bring it in to me i d rather not,oba eya ma wetha gena eyida mama ese nokarami,,,
ඒක අපි හිටපු කාමරේට දානවට මම කැමති නෑ,i d rather not all right put it in the room where we were,eka api hitapu kamareta danawata mama kemathi ne,,,
මිසිස් රොබින්සන් මම මේ බෙන්ජමින් දාන්න දන්නේ නැහැ,mrs robinson i don t quite know how to put this benjamin,misis robinsan mama me benjamin danna danne nehe,,,
බෙන්ජමින් බලන්න මම සාදයෙන් පසු ඒ කාලය ගැන සිතුවෙමි,benjamin look i was thinking about that time after the party,benjamin balanna mama sadayen pasu e kalaya gena sithuwemi,,,
ඔබ කොහෙද ටාෆ්ට් හෝටලය,where are you uh the taft hotel,oba koheda hotalaya,,,
අහ් ටාෆ්ට් හෝටලයෙන් ඔබට කාමරයක් ලැබුණාද?,uh the taft hotel did you get a room,ah hotalayen obata kamarayak lebunada,,,
මට ඔයාට උදව් කරන්න පුලුවන්ද සර් මොකක්ද අනේ මම නිකන්,can i help you sir what oh no i m just,mata oyata udaw karanna puluwanda sar mokakda ane mama nikan,,,
තනිකඩ පක්ෂය සර් ඔව් තනිකඩ පක්ෂය,the singleman party sir oh yes the singleman party,thanikada pakshaya sar ow thanikada pakshaya,,,
ඔහ් ඔව් තනිකඩ සාදය එය ප්රධාන උත්සව ශාලාවේ ය,oh yes the singleman party it s in the main ballroom,oh ow thanikada sadaya eya pradhana uthsawa shalawe ya,,,
"එය ප්රධාන උත්සව ශාලාවේ ඇත, ස්තූතියි",it s in the main ballroom ahh thank you,eya pradhana uthsawa shalawe etha sthuthiyi,,,
ඔව් සර් කාමරයක් මම කාමරයක් වගේ,yes sir a room i d like a room please,ow sar kamarayak mama kamarayak wage,,,
මම කාමරයකට කැමති කාමරයක් කරුණාකර තනි කාමරයක් හෝ ද්විත්ව කාමරයක්,a room i d like a room please a single room or a double room,mama kamarayakata kemathi kamarayak karunakara thani kamarayak ho dwithwa kamarayak,,,
කරුණාකර මට තනි කාමරයක් හෝ ද්විත්ව කාමරයක්,a single room or a double room a single just for myself please,karunakara mata thani kamarayak ho dwithwa kamarayak,,,
මොකක් හරි අවුලක්ද සර් මොකුත් නෑ,is anything wrong sir what no nothing,mokak hari sar mokuth ne,,,
ගමන් මලු ඔව් ඔව් මම කරන්නම් ඒක කොහෙද,luggage yes yes i do where is it,gaman malu ow ow mama karannam eka koheda,,,
ඔබේ ගමන් මලු හොඳින් කොහිද එය මෝටර් රථයේ එය මෝටර් රථයේ ඇත,where is your luggage well it s in the car it s out in the car,obe gaman malu hondin kohida eya motar rathaye eya motar rathaye etha,,,
"ඔහ්, මම හිතන්නේ මෙය නාන කාමරය නොවේ එය ශාලාවේ පහළයි",oh i guess this isn t the bathroom is it it s down the hall,oh mama hithanne meya nana kamaraya nowe eya shalawe pahalayi,,,
"එය ගැහැණු ළමයෙක්ද, ගැහැණු ළමයෙක්ද?",is it a girl is what a girl,eya gehenu lamayekda gehenu lamayekda,,,
මොන ගෑණු ළමයෙක් ගැන උනත් ඔයා කලබල වෙලා,is what a girl whatever it is you re upset about,mona genu lamayek gena unath oya kalabala wela,,,
මොනවා උනත් ඔයා කලබලයි අනේ නෑ මම දේවල් ගැන කලබලයි,whatever it is you re upset about oh no i m just sort of disturbed about things,monawa unath oya kalabalayi ane ne mama dewal gena kalabalayi,,,
අපොයි නෑ මම සාමාන්ය දේවල් ගැන කලබල වෙලා,oh no i m just sort of disturbed about things in general,apoyi ne mama samanya dewal gena kalabala wela,,,
පොදුවේ එය හරි,in general that s right,poduwe eya hari,,,
මොකද මම ලයිට් පත්තු වෙනකම් මට ආරක්ෂාවක් නැති නිසා,what for because i don t feel safe until i get the lights on,mokada mama layit paththu wenakam mata arakshawak nethi nisa,,,
හරි එහෙනම් මොනවද බොන්නේ,all right then what do you drink,hari ehenam monawada bonne,,,
ඇයි කරුණාකරලා මගේ මහත්තයා ගෙදර එනකම් ඉන්න එපා,why not please wait till my husband gets home,eyi karunakarala mage mahaththaya gedara enakam inna epa,,,
ඔහු නැවත එන්නේ කවදාදැයි මම නොදනිමි,when is he coming back i don t know,ohu newatha enne kawadadeyi mama nodanimi,,,
ඔබ මා ගැන සිතන්නේ කුමක්ද ඔබ අදහස් කරන්නේ කුමක්ද?,what do you think of me what do you mean,oba ma gena sithanne kumakda oba adahas karanne kumakda,,,
ඔයා දන්නවද ඒ බැල්ම මම යන්න ඕන කියලා,did you know that look i think i should be going,oya dannawada e belma mama yanna ona kiyala,,,
බලන්න මම බෙන්ජමින් වාඩි වෙන්න ඕනේ කියලා,look i think i should be going sit down benjamin,balanna mama benjamin wadi wenna one kiyala,,,
අනේ නෑ මිසිස් රොබින්සන් අනේ නෑ මොකක්ද අවුල,oh no mrs robinson oh no what s wrong,ane ne misis robinsan ane ne mokakda awula,,,
මම කිව්වේ ඔයා ඇත්තටම හිතුවේ නැහැ මම ඒ වගේ දෙයක් කරයි කියලා,i mean you didn t really think that i would do something like that like what,mama kiwwe oya eththatama hithuwe nehe mama e wage deyak karayi kiyala,,,
ඔබ සිතන්නේ කුමක්ද යන්න වගේ,like what what do you think,oba sithanne kumakda yanna wage,,,
ඔබ හොඳින් සිතන්නේ කුමක්දැයි මම නොදනිමි,what do you think well i don t know,oba hondin sithanne kumakdeyi mama nodanimi,,,
මිසිස් රොබින්සන් ඔයා මට සමාව දෙනවද මම කියපු දේට කමක් නෑ,mrs robinson will you forgive me for what i just said it s all right,misis robinsan oya mata samawa denawada mama kiyapu deta kamak ne,,,
ඒක කමක් නෑ ඒක හරි නෑ මම කාටවත් කියපු නරකම දේ,it s all right it s not all right it s the worst thing i ve ever said to anyone,eka kamak ne eka hari ne mama katawath kiyapu narakama de,,,
ඒක හරි නෑ මම කාටවත් ඉඳගන්න කියපු නරකම දේ,it s not all right it s the worst thing i ve ever said to anyone sit down,eka hari ne mama katawath indaganna kiyapu narakama de,,,
ඔබ කවදා හෝ දැක තිබේද elaine ගේ රුව රුව ඇත,have you ever seen elaine s portrait her portrait,oba kawada ho deka thibeda ge ruwa ruwa etha,,,
අපි ඒක කරලා තිබ්බා පහුගිය නත්තලට ඔයා ගොඩක් කැමතිද ඒක බලන්න,we had it done last christmas would you like to see it very much,api eka karala thibba pahugiya naththalata oya godak kemathida eka balanna,,,
මට ඇය දුඹුරු ඇස් බෙන්ජමින් ඇති බව මතක නැත,i don t remember her as having brown eyes benjamin,mata eya dumburu es benjamin ethi bawa mathaka netha,,,
මම හිතන්නේ මම නිදාගන්නම් හොඳයි සුභ රාත්රියක්,i think i ll go to bed oh well goodnight,mama hithanne mama hondayi subha rathriyak,,,
හොඳයි ගුඩ්නයිට් ඔයා මගේ ඇඳුම ගලවන්නේ නැහැ,oh well goodnight won t you unzip my dress,hondayi oya mage enduma galawanne nehe,,,
"ඔබ මගේ ඇඳුම ගලවන්නේ නැත, මම රොබින්සන් මහත්මිය නොවෙමි",won t you unzip my dress i d rather not mrs robinson,oba mage enduma galawanne netha mama robinsan mahathmiya nowemi,,,
මම ඒක දන්නවා නමුත් මම එන්නම්,i know that but i m come on,mama eka dannawa namuth mama ennam,,,
මම බය නෑ මිසිස් රොබින්සන් එහෙනම් ඇයි ඔයා දුවන්නේ,i m not scared mrs robinson then why do you keep running away,mama baya ne misis robinsan ehenam eyi oya duwanne,,,
ඔව් මීට පෙර ඔබ කිසිවෙක් ලිස්සා යාමේ දී දැක නැත,haven t you ever seen anybody in a slip before yes i have,ow meeta pera oba kisiwek lissa yame dee deka netha,,,
ඔහු හොඳින් කළහොත් එය ඉතා විහිළුවක් ලෙස පෙනෙනු ඇත,what if he did well it would look pretty funny wouldn t it,ohu hondin kalahoth eya itha wihiluwak lesa penenu etha,,,
කෝ ඒ හෝල් එකේ පුටුව උඩ,where is it on that chair in the hall,ko e hol eke putuwa uda,,,
කලබල වෙන්න එපා ඒ දොරෙන් අයින් වෙන්න,don t be nervous get away from that door,kalabala wenna epa e doren ayin wenna,,,
ඒ දොරෙන් අයින් වෙන්න මට මුලින්ම දෙයක් කියන්න ඕන,get away from that door i want to say something first,e doren ayin wenna mata mulinma deyak kiyanna ona,,,
මට මුලින්ම දෙයක් කියන්න ඕන යේසුස් ක්රිස්තුස්,i want to say something first jesus christ,mata mulinma deyak kiyanna ona yesus kristhus,,,
මම කියපු දේ ඔයාට තේරෙනවාද මට එළියට යන්න දෙන්න,let me out do you understand what i said,mama kiyapu de oyata therenawada mata eliyata yanna denna,,,
ඔයාට තේරෙනවද මම කියපු දේ ඔව් ඔව් මට එලියට දෙන්න,do you understand what i said yes yes let me out,oyata therenawada mama kiyapu de ow ow mata eliyata denna,,,
ඔව් මට යන්න වෙනවා,yes i do i ve got to go,ow mata yanna wenawa,,,
හෙලෝ බෙන්ජමින් ඔහ් හලෝ හලෝ,hello benjamin oh hello hello,helo benjamin oh halo halo,,,
ඇත්ත වශයෙන්ම මට වාඩි විය හැකිද?,may i sit down of course,eththa washayenma mata wadi wiya hekida,,,
කොහොමද ඔයාට ගොඩක් හොඳයි ස්තූතියි,how are you very well thank you,kohomada oyata godak hondayi sthuthiyi,,,
මට ඇත්තෙන්ම බීමක් බොන්න පුළුවන්ද?,may i have a drink a drink of course,mata eththenma beemak bonna puluwanda,,,
"ඔබ අපට කාමරයක් ලබා දී තිබේද, මට තවමත් කාමරයක් නැත",have you gotten us a room yet i haven t no,oba apata kamarayak laba dee thibeda mata thawamath kamarayak netha,,,
මට නෑ ඔයාට ඕනද,i haven t no do you want to,mata ne oyata onada,,,
ඔබට එය මා ලබා ගැනීමට අවශ්යද ඔහ් නෑ නෑ මම එය ලබා ගන්නම්,do you want me to get it you oh no no i ll get it,obata eya ma laba geneemata awashyada oh ne ne mama eya laba gannam,,,
ඔයා ඔහ් නෑ නෑ මම ගන්නම් ඔයාට දැන් ඒක ගන්න ඕනද,you oh no no i ll get it do you want to get it now,oya oh ne ne mama gannam oyata den eka ganna onada,,,
"හොඳයි, මම දන්නේ නැහැ ඇයි ඔබට එය නොලැබෙන්නේ කියලා",well i don t know why don t you get it,hondayi mama danne nehe eyi obata eya nolebenne kiyala,,,
මට තනි කාමරයක් තියෙනවා ඒක හොඳයි,i got a single room that s fine,mata thani kamarayak thiyenawa eka hondayi,,,
ඔව් මම හිතන්නේ ඒක හොඳයි මම විනාඩි පහකින් නැගිටිනවා,yes i think that would be good i ll be up in five minutes,ow mama hithanne eka hondayi mama winadi pahakin negitinawa,,,
මම විනාඩි පහකින් නැගිටින්නම් එහෙනම් සමුගන්න,i ll be up in five minutes well goodbye then,mama winadi pahakin negitinnam ehenam samuganna,,,
හොඳයි එහෙනම් බෙන්ජමින්,well goodbye then benjamin,hondayi ehenam benjamin,,,
ඔයාට මට කියන්න ඕන දෙයක් නැද්ද,isn t there something you want to tell me to tell you,oyata mata kiyanna ona deyak nedda,,,
"ඔහ්, ඔබ සම්පූර්ණයෙන්ම හරි, එය 512 ස්තූතියි",oh you re absolutely right absolutely it s 512 thank you,oh oba sampurnayenma hari eya sthuthiyi,,,
ඇයි ඔයා බලන්නෙ නැත්තෙ ඔහ් ෂුවර් එකට ස්තුතියි,why don t you watch oh sure thank you,eyi oya balanne neththe oh shuwar ekata sthuthiyi,,,
ලී හෝ වයර් දෙකම ඇති එකක් හොඳයි,wood or wire they have both either one will be fine,lee ho wayar dekama ethi ekak hondayi,,,
ස්තුතියි ඔබ සාදරයෙන් පිළිගනිමු,thank you you re welcome,sthuthiyi oba sadarayen piliganimu,,,
"රොබින්සන් මහත්මිය, මට ඔබට මෙය කළ නොහැක",mrs robinson i can t do this you what,robinsan mahathmiya mata obata meya kala noheka,,,
ඔබ මේ සියල්ල දරුණු ලෙස වැරදියි,you what this is all terribly wrong,oba me siyalla darunu lesa weradiyi,,,
බෙන්ජමින් ඔබේ පළමු අවස්ථාව මෙයයි,benjamin is this your first time is this what,benjamin obe palamu awasthawa meyayi,,,
එය මෙය නොවේද එය ඔබගේ පළමු අවස්ථාවයි,is this what it is isn t it it is your first time,eya meya noweda eya obage palamu awasthawayi,,,
ඔබ විහිළුවක් කරන බව ඔබට පිළිගත හැකිය,you can admit that can t you are you kidding,oba wihiluwak karana bawa obata piligatha hekiya,,,
ඔයා විහිළු කරනවද ඒක ලැජ්ජා වෙන්න දෙයක් නෑ,are you kidding it s nothing to be ashamed of,oya wihilu karanawada eka lejja wenna deyak ne,,,
පොඩ්ඩක් ඉන්න එක ගැන ලැජ්ජා වෙන්න දෙයක් නෑ,it s nothing to be ashamed of wait a minute,poddak inna eka gena lejja wenna deyak ne,,,
ඔබේ පළමු වතාවට විනාඩියක් ඉන්න,wait a minute on your first time,obe palamu wathawata winadiyak inna,,,
ඔයාගේ පලවෙනි පාර කවුද කිව්වේ මගේ පලවෙනි පාර කියලා,on your first time who said it was my first time,oyage palaweni para kawuda kiwwe mage palaweni para kiyala,,,
කවුද කිව්වෙ ඔයා බයවුණ පළමු වතාව ඒක කියලා,who said it was my first time that you re afraid,kawuda kiwwe oya bayawuna palamu wathawa eka kiyala,,,
ඔයා බයයි කියලා පොඩ්ඩක් ඉන්න,that you re afraid wait a minute,oya bayayi kiyala poddak inna,,,
"හොඳයි, ඔබට ඕනෑම දෙයක් ගැන කතා කිරීමට අවශ්ය කුමක්ද?",well what do you want to talk about anything anything at all,hondayi obata onema deyak gena katha kireemata awashya kumakda,,,
හොඳ විෂයක් වන කලා කලාව ගැන ඔබ එය ආරම්භ කරන්නේ කෙසේද?,how about art art that s a good subject you start it off,honda wishayak wana kala kalawa gena oba eya arambha karanne keseda,,,
"ඔබ ඔව්, මම ඒ ගැන ටිකක් දන්නවා",don t you yes i do i know quite a bit about it,oba ow mama e gena tikak dannawa,,,
ඔව් මම ඒ ගැන ටිකක් දන්නවා එහෙනම් ඉදිරියට යන්න,yes i do i know quite a bit about it go ahead then,ow mama e gena tikak dannawa ehenam idiriyata yanna,,,
ඔබ කලාව ගැන උනන්දුවක් නොදක්වයි,neither you re not interested in art,oba kalawa gena unanduwak nodakwayi,,,
එහෙනම් ඇයි ඔයා ඒ ගැන කතා කරන්න හදන්නේ මම නෙවෙයි,then why do you want to talk about it i don t,ehenam eyi oya e gena katha karanna hadanne mama neweyi,,,
ඔයාට ඇත්තටම මාව ඕනද ඔව් මට කරන්න,do you really want me to yes i do,oyata eththatama mawa onada ow mata karanna,,,
ඔව් මම නැගිට්ටා,yes i do i got up,ow mama negitta,,,
ඔබ කියවූ නවකතාව මට මතක නැත,what novel did you read i don t remember,oba kiyawu nawakathawa mata mathaka netha,,,
